Patient ID,Breath Rate,Heart Rate,Patient Status,Range Bin
0,22.6,83.7,Presence,20
0,22.6,83.7,Presence,20
0,22.6,83.7,Presence,20
0,22.6,83.7,Presence,20
0,22.6,83.7,Presence,20
0,22.6,83.7,Presence,20
0,22.6,83.7,Presence,20
0,22.6,83.7,Presence,20
0,22.6,83.7,Presence,20
0,22.6,83.7,Presence,20
0,22.6,83.7,Presence,20
0,22.6,83.7,Presence,20
0,22.6,83.7,Presence,20
0,22.6,83.7,Presence,20
0,22.6,83.7,Presence,20
